condition_concept_id,concept_name
80502,Osteoporosis
134736,Backache
194133,"Low back pain"
30234,"Neck sprain"
433990,"Subchronic catatonic schizophrenia"
435510,Hypocalcemia
319835,"Congestive heart failure"
435783,Schizophrenia
437469,"Antiallergenic drug adverse reaction"
436665,"Bipolar disorder"
437827,"Pure hypercholesterolemia"
439502,"Postoperative pain"
4148842,"Bipolar I disorder, single manic episode, in full remission"
439082,"Menopausal syndrome"
444382,"Thoracic radiculitis"
192450,"Retention of urine"
75004,"Frank hematuria"
27674,"Nausea and vomiting"
31967,Nausea
136562,"Open wound of gum without complication"
139188,"Open wound of scalp without complication"
30978,Thalassemia
80180,Osteoarthritis
134159,"Precordial pain"
140673,Hypothyroidism
200219,"Abdominal pain"
254591,"Secondary malignant neoplasm of lung"
201837,"Abnormality of secretion of glucagon"
258375,"Overlapping malignant neoplasm of bronchus and lung"
75860,Constipation
77025,"Diverticulitis of colon"
136788,"Spinal stenosis of lumbar region"
73553,Arthropathy
73562,"Solitary sacroiliitis"
79904,"Localized, secondary osteoarthritis of the hand"
74892,"Articular gout"
79908,"Muscle weakness"
77638,"Displacement of intervertebral disc without myelopathy"
78232,"Shoulder joint pain"
80004,"Injury of hand"
74132,"Degeneration of lumbosacral intervertebral disc"
138519,"Spondylosis without myelopathy"
75617,"Degenerative joint disease involving multiple joints"
193518,"Intestinal obstruction"
201826,"Type 2 diabetes mellitus"
193782,"End stage renal disease"
199074,"Acute pancreatitis"
141253,"Disorder of thyroid gland"
197988,"Generalized abdominal pain"
201078,"Atrophic vaginitis"
195926,"Slowing of urinary stream"
81611,"Diverticular disease of colon"
192819,"Typhoid fever"
138525,"Pain in limb"
193239,"Diverticulitis of small intestine"
313217,"Atrial fibrillation"
257007,"Allergic rhinitis"
141104,"Intervertebral disc disorder of lumbar region with myelopathy"
201254,"Type 1 diabetes mellitus"
135892,"Erythematous condition"
314131,"Degeneration of cervical intervertebral disc"
194686,"Acquired renal cystic disease"
198678,"Intestinal infectious disease"
437247,"Anemia of chronic disease"
432851,"Secondary malignant neoplastic disease"
434502,"Closed fracture of phalanx of foot"
317576,"Coronary arteriosclerosis"
317898,"Malignant essential hypertension"
317009,Asthma
43531028,"Mononeuropathy of lower limb"
40490986,"Tenderness of right lower quadrant of abdomen"
439777,Anemia
442077,"Anxiety disorder"
439947,"Open fracture of upper end of fibula"
437833,Hypokalemia
443597,"Chronic kidney disease stage 3"
4110192,"Cerebral infarction due to thrombosis of cerebral arteries"
374009,"Organic mental disorder"
316999,"Conduction disorder of the heart"
316429,"Premature beats"
432284,"Single major depressive episode"
436071,"Acute exacerbation of chronic catatonic schizophrenia"
433450,"Paranoid schizophrenia"
4116950,"Tenderness of central region"
46271022,"Chronic kidney disease"
442588,"Obstructive sleep apnea syndrome"
43531611,"Hypothermia not associated with low environmental temperature"
318800,"Gastroesophageal reflux disease"
440374,"Obsessive-compulsive disorder"
320420,"Vitreous degeneration"
439297,"Nuclear senile cataract"
437579,"Paroxysmal ventricular tachycardia"
381566,"Cataract in eye inflammatory disorder"
436919,"Primary malignant neoplasm of unspecified site"
441534,"Severe major depression, single episode, without psychotic features"
321596,"Peripheral venous insufficiency"
4168222,"Intra-abdominal and pelvic swelling, mass and lump"
433163,"Deficiency of macronutrients"
443788,"Peritoneal adhesions with obstruction"
439847,"Intracranial hemorrhage"
441408,Vomiting
439147,Amnesia
435243,"Alcohol dependence"
380378,Epilepsy
438733,"Profound mental retardation"
375806,"Idiopathic peripheral neuropathy"
438392,"Disorder of hyperalimentation"
4162218,"Vaginal enterocele"
436100,Narcolepsy
438749,"Posterior subcapsular polar senile cataract"
437828,"Disorder of calcium metabolism"
4088920,"Uterus absent"
437992,"Renal function tests abnormal"
443961,"Anemia of chronic renal failure"
439696,"Hypertensive heart and renal disease with (congestive) heart failure"
443731,"Renal disorder due to type 2 diabetes mellitus"
197107,"Abdominal rigidity of right lower quadrant"
77079,"Spinal stenosis"
201530,"Type 2 diabetes mellitus with hyperosmolar coma"
435216,"Disorder due to type 1 diabetes mellitus"
80824,"Senile osteoporosis"
77646,"Disorder of bone and articular cartilage"
75669,"Open dislocation of hip"
72407,"Effusion of joint of shoulder region"
72469,"Closed traumatic dislocation of joint of shoulder region"
75354,Osteochondropathy
0,"No matching concept"
197032,"Hyperplasia of prostate"
261325,"Pulmonary emphysema"
198964,"Chronic hepatitis C"
77234,"Benign neoplasm of colon"
80813,"Lumbosacral spondylosis without myelopathy"
81902,"Urinary tract infectious disease"
198108,"Benign neoplasm of fallopian tubes and uterine ligaments"
195862,Urethritis
317302,"Sinus node dysfunction"
436167,Lactocele
440019,"Measles with complication"
434169,"Abnormal findings on diagnostic imaging of breast"
440814,Torticollis
443211,"Benign prostatic hypertrophy with outflow obstruction"
434195,"Open dislocation of metacarpophalangeal joint of finger"
321389,"Disorder of intervertebral disc of thoracic spine"
378419,"Alzheimer's disease"
439926,"Malaise and fatigue"
40488954,"Tenderness of right upper quadrant of abdomen"
40483107,"Inflamed seborrheic keratosis"
4295261,"Postmenopausal state"
444445,"Benign neoplasm of skin of lower limb"
441788,"Human papilloma virus infection"
4112183,"Esophageal varices with bleeding, associated with another disorder"
443556,"Primary focal hyperhidrosis"
4059049,"Mammography abnormal"
438105,"Benign neoplasm of mediastinum"
376984,"Conjunctival cyst"
435511,Hypercalcemia
378756,"Conjunctival hemorrhage"
436118,"After-cataract with vision obscured"
433767,"Glaucoma of childhood"
321882,"Generalized atherosclerosis"
436670,"Metabolic disease"
378752,"Corneal opacity"
373478,Presbyopia
436962,Insomnia
378427,"Tear film insufficiency"
195771,"Secondary diabetes mellitus"
74719,"Ulcer of foot"
138711,"Fibrous autoimmune thyroiditis"
135778,"Toxic multinodular goiter"
140648,"Onychomycosis due to dermatophyte"
43020432,"Atherosclerosis of native arteries of the extremities"
